LF,HF,LF/HF Ratio,Class
80.01398252,58.02418892,1.377027332,1
244.9922432,200.0048502,1.210870035,1
442.9917598,168.0135088,2.644241821,1
58.00682649,30.99963835,1.887505352,1
154.7001407,45.49397152,3.403378867,1
307.9960192,114.9992244,2.669454916,1
561.0072725,360.9934124,1.544222337,1
213.4001933,382.3103993,0.556781017,1
405.9131775,222.912069,1.818306832,1
421.6999788,104.5003451,4.03931503,1
80.0050185,50.01008382,1.601331768,1
95.00393318,55.99146586,1.714921289,1
427.8980667,233.5161302,1.836924394,1
128.9898021,59.01220712,2.195860315,1
61.9859871,92.00517098,0.680572582,1
153.9984416,114.7000522,1.334373505,1
67.99361609,20.00349892,3.389727829,1
233.9943202,95.9994248,2.437588592,1
779.9923916,560.0051033,1.389204247,1
207.0079501,83.00964234,2.502902669,0
162.9793461,32.97807124,4.93785437,0
271.9817826,125.0034095,2.158078423,0
185.011306,68.99465659,2.6749443,0
454.0026625,127.0019638,3.577328192,0
548.0000274,383.0065774,1.428047535,0
807.006044,566.9968238,1.441038282,0
312.9898953,162.9942539,1.927910395,0
193.9968031,120.0190322,1.620007138,0
574.0117205,120.9813667,4.75058693,0
195.985142,158.9899708,1.244972069,0
437.001447,213.9989909,2.052958443,0
1312.985151,500.9939136,2.615592445,0
114.9743249,37.98991607,3.033677909,0
253.9947281,175.0024453,1.449526281,0
271.9932396,130.008022,2.075826885,0
295.8046814,133.1082668,2.218614902,0
821.3042854,1775.905012,0.471520079,0
251.1424114,174.2029183,1.458728697,
80.02408249,58.00419189,1.37620792,
244.9996245,199.993222,1.237780789,
443.0179572,168.0078697,2.646054305,
58.00649544,30.98643453,1.891135384,
154.7117058,45.48726771,3.385211948,
308.0054402,115.0014102,2.673301126,
561.0024774,360.9913394,1.561936589,
213.3849123,382.308556,0.553407036,
405.9066386,222.8842298,1.808783878,
421.7102088,104.5074264,4.036648401,
80.01577569,49.9900093,1.597038904,
94.99084095,55.98661541,1.708398712,
427.8973704,233.48463,1.81214288,
129.0038551,58.99552177,2.187900358,
61.98813196,91.99338819,0.678186971,
153.9831747,114.7008023,1.347464895,
68.00160638,19.99526188,3.402056345,
233.9943485,95.99212485,2.449873906,
780.0036631,559.9886252,1.404365743,
206.9895845,82.99734916,2.501900556,
163.0085891,32.99855703,4.945619298,
272.0044182,125.0170411,2.177698328,
185.0062722,68.99014034,2.697495095,
453.9940646,127.0060659,3.578028996,
548.0060076,383.0075224,1.410204094,
807.0036213,566.9931894,1.410786595,
313.0110625,162.9967181,1.926758199,
193.9950119,120.0078258,1.60915004,
574.0007045,120.9917524,4.734369323,
196.0035616,158.9888631,1.212676329,
436.9953048,213.9936189,2.067826905,
1312.994002,501.0135216,2.624409789,
114.9993387,37.99675918,3.038549641,
253.9981265,175.0255949,1.463710464,
272.0085191,130.0137703,2.093072067,
295.7963685,133.1074058,2.225590681,
821.3057295,1775.89017,0.471082741,
251.1287561,174.2060065,1.42976404,
80.00241304,58.00231741,1.370998356,
244.9918634,199.9824795,1.21916205,
443.0096043,168.006987,2.634471202,
58.00740184,30.99956402,1.867498312,
154.7065366,45.50262047,3.389340694,
307.9897986,115.0032739,2.684701276,
561.0065793,360.9963544,1.5500662,
213.3903095,382.3210428,0.547490193,
405.9079852,222.9002429,1.821288529,
421.6979925,104.4964991,4.040981739,
79.9947878,50.0109817,1.596816934,
94.99706939,55.99422986,1.690901648,
427.8940028,233.5014737,1.852257231,
128.9997166,59.00227468,2.192028759,
62.00154805,92.00819843,0.677705043,
153.9906513,114.6986898,1.351935607,
67.99834051,19.9953774,3.39850682,
233.9960965,96.00014407,2.419787035,
780.014028,560.016814,1.391766766,
